type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,day_added,genres
TV Show,Schitt's Creek,Not Given,Canada,2021-06-19,2020,TV-MA,,TV Comedies,2021,6,19,['TV Comedies']
TV Show,The Assassination of Gianni Versace,Not Given,United States,2021-06-19,2018,TV-MA,1.0,"Crime TV Shows, TV Dramas, TV Thrillers",2021,6,19,"['Crime TV Shows', ' TV Dramas', ' TV Thrillers']"
TV Show,The Judgement,Not Given,Thailand,2021-06-19,2018,TV-MA,1.0,"Crime TV Shows, International TV Shows, TV Dramas",2021,6,19,"['Crime TV Shows', ' International TV Shows', ' TV Dramas']"
TV Show,The Last Dance,Not Given,United States,2021-06-19,2020,TV-MA,1.0,Docuseries,2021,6,19,['Docuseries']
TV Show,Why Are You Like This,Not Given,Australia,2021-06-19,2021,TV-MA,1.0,"International TV Shows, TV Comedies",2021,6,19,"['International TV Shows', ' TV Comedies']"
TV Show,Elite,Not Given,Spain,2021-06-18,2021,TV-MA,,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",2021,6,18,"['Crime TV Shows', ' International TV Shows', ' Spanish-Language TV Shows']"
TV Show,Hospital Playlist,Not Given,South Korea,2021-06-18,2021,TV-14,,"International TV Shows, Korean TV Shows, TV Comedies",2021,6,18,"['International TV Shows', ' Korean TV Shows', ' TV Comedies']"
TV Show,Black Summer,Not Given,Canada,2021-06-17,2021,TV-MA,,"TV Action & Adventure, TV Dramas, TV Horror",2021,6,17,"['TV Action & Adventure', ' TV Dramas', ' TV Horror']"
TV Show,Katla,Not Given,Iceland,2021-06-17,2021,TV-MA,1.0,"International TV Shows, TV Dramas, TV Mysteries",2021,6,17,"['International TV Shows', ' TV Dramas', ' TV Mysteries']"
TV Show,The Gift,Not Given,Turkey,2021-06-17,2021,TV-MA,,"International TV Shows, TV Dramas, TV Mysteries",2021,6,17,"['International TV Shows', ' TV Dramas', ' TV Mysteries']"
TV Show,Millennials,Not Given,Argentina,2021-06-16,2020,TV-MA,,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows",2021,6,16,"['International TV Shows', ' Romantic TV Shows', ' Spanish-Language TV Shows']"
TV Show,Avengers Climate Conundrum,Not Given,United States,2021-06-15,2020,TV-Y7,1.0,"Kids' TV, TV Comedies",2021,6,15,"[""Kids' TV"", ' TV Comedies']"
TV Show,So Not Worth It,Not Given,Pakistan,2021-06-18,2021,TV-14,1.0,"International TV Shows, TV Comedies",2021,6,18,"['International TV Shows', ' TV Comedies']"
TV Show,Love (ft. Marriage and Divorce),Not Given,South Korea,2021-06-12,2021,TV-14,,"International TV Shows, TV Dramas",2021,6,12,"['International TV Shows', ' TV Dramas']"
TV Show,LEGO Friends: The Power of Friendship,Not Given,Denmark,2021-06-11,2016,TV-Y7,,Kids' TV,2021,6,11,"[""Kids' TV""]"
